match_id,season,match_date_utc,home_team,away_team,home_last5_wins,home_last5_draws,home_last5_losses,away_last5_wins,away_last5_draws,away_last5_losses,home_avg_goals,home_avg_goals_conceded,away_avg_goals,away_avg_goals_conceded,home_avg_goals_last5,home_avg_conceded_last5,away_avg_goals_last5,away_avg_conceded_last5,home_form_points,away_form_points,home_elo,away_elo,elo_diff,home_rank,away_rank,home_win_streak,home_draw_streak,home_loss_streak,home_unbeaten_streak,away_win_streak,away_draw_streak,away_loss_streak,away_unbeaten_streak,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_total,home_home_win_rate,home_home_avg_goals,away_away_win_rate,away_away_avg_goals,home_rest_days,away_rest_days,home_matches_played,away_matches_played,home_goal_diff,away_goal_diff,result
2ZSJggET,2002-2003,2002-08-04 20:30:00+00:00,Trujillanos,Carabobo,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,H
67ZAeFqH,2002-2003,2002-08-04 20:30:00+00:00,Caracas,Mineros,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,H
KEFokDMp,2002-2003,2002-08-04 20:30:00+00:00,Monagas,Miranda,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,H
OrUFfZbN,2002-2003,2002-08-04 20:30:00+00:00,Dep. Táchira,Estudiantes M.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,D
YHJklXyi,2002-2003,2002-08-04 20:30:00+00:00,U. A. Maracaibo,Nacional Tachira,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,A
I19jbHab,2002-2003,2002-08-11 20:30:00+00:00,Estudiantes M.,Mineros,0,1,0,0,0,1,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1,0,1504.48,1488.48,16.0,5,8,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,7,7,1,1,0,-3,D
ObCbdeUA,2002-2003,2002-08-11 20:30:00+00:00,Nacional Tachira,Trujillanos,1,0,0,1,0,0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3,3,1520.48,1511.52,8.96,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,7,7,1,1,1,1,H
UyDfcyF4,2002-2003,2002-08-11 20:30:00+00:00,Monagas,Caracas,1,0,0,1,0,0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,3,3,1511.52,1511.52,0.0,3,2,1,0,0,1,1,0,0,1,0,0,0,0,1.0,3.0,0.0,0.0,7,7,1,1,1,3,A
dnLs0wVo,2002-2003,2002-08-11 20:30:00+00:00,Carabobo,Dep. Táchira,0,0,1,0,1,0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0,1,1488.48,1495.52,-7.04,8,5,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,7,7,1,1,-1,0,D
zwKoacph,2002-2003,2002-08-11 20:30:00+00:00,Miranda,U. A. Maracaibo,0,0,1,0,0,1,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,0,0,1488.48,1479.52,8.96,8,10,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,7,7,1,1,-1,-1,D
