iter	Accuracy	MultiClass
0	0.4345100019	1.094858969
1	0.4379898378	1.091676393
2	0.4451795577	1.088812536
3	0.4417556254	1.085650608
4	0.4447160766	1.082806766
5	0.4508145882	1.0803143
6	0.4509365963	1.07801138
7	0.4535949853	1.075682225
8	0.4568933858	1.073393478
9	0.4593422798	1.071059632
10	0.4601539826	1.06885726
11	0.4585947756	1.067104635
12	0.4637621947	1.065265955
13	0.4657099673	1.063365413
14	0.4668545562	1.061787753
15	0.4659619693	1.060413243
16	0.4670763581	1.059245775
17	0.4674940726	1.057785412
18	0.4671999735	1.056264594
19	0.4721169301	1.054817085
20	0.472600108	1.053760011
21	0.4735007085	1.052716219
22	0.4727621508	1.051616651
23	0.4729939505	1.050478019
24	0.471095451	1.049706958
25	0.4750513286	1.048728488
26	0.4754507399	1.047761214
27	0.4767511112	1.04664257
28	0.4747087262	1.045686497
29	0.475200491	1.045144259
30	0.4764459527	1.044303425
31	0.477297426	1.043060759
32	0.4815538091	1.041856401
33	0.4826565147	1.041424436
34	0.4858522215	1.040227621
35	0.4878140038	1.039624328
36	0.4881038095	1.03884807
37	0.4895888202	1.038244797
38	0.490742142	1.037036596
39	0.4884635179	1.036390089
40	0.4895050535	1.035647287
41	0.4912080001	1.034800533
42	0.4936529604	1.03383969
43	0.4936110771	1.033547324
44	0.4954277768	1.032575484
45	0.4952807272	1.031971487
46	0.4948705485	1.031351175
47	0.4966819713	1.03066145
48	0.4964554486	1.029933163
49	0.4984269472	1.029298218
50	0.498976572	1.028523554
51	0.4998979482	1.027596599
52	0.4992977072	1.027244689
53	0.4976516371	1.02675475
54	0.5009190677	1.025938283
55	0.5003766867	1.025193479
56	0.500444263	1.024622318
57	0.5011679735	1.024094239
58	0.5022654022	1.023794968
59	0.5021236295	1.023403838
60	0.5019991767	1.022670615
61	0.5028463565	1.022259849
62	0.5028377696	1.021760812
63	0.5035840767	1.021120066
64	0.5031984615	1.020726637
65	0.5030890019	1.020020123
66	0.5033778241	1.019671361
67	0.5066023879	1.018878406
68	0.5080873986	1.018144748
69	0.508304351	1.017664853
70	0.507977939	1.017383449
71	0.5075946504	1.017174465
72	0.5075387573	1.016798043
73	0.5077749963	1.016558312
74	0.5073874143	1.016063056
75	0.5074390139	1.015662772
76	0.5091452705	1.015154873
77	0.5099248741	1.014673803
78	0.5105348314	1.014199991
79	0.511191949	1.013760572
80	0.5115699607	1.013451778
