iter	Passed	Remaining
0	5	4327
1	10	4130
2	15	4013
3	20	4028
4	25	4032
5	30	3987
6	34	3935
7	39	3886
8	44	3872
9	49	3872
10	53	3870
11	60	3941
12	65	3958
13	69	3913
14	74	3909
15	79	3900
16	84	3875
17	89	3875
18	94	3868
19	99	3869
20	104	3874
21	109	3871
22	114	3874
23	119	3871
24	125	3898
25	131	3913
26	136	3918
27	142	3922
28	147	3924
29	152	3920
30	157	3916
31	163	3912
32	168	3904
33	172	3887
34	177	3888
35	182	3879
36	187	3875
37	192	3857
38	197	3849
39	202	3838
40	206	3827
41	211	3816
42	215	3801
43	221	3802
44	225	3784
45	230	3778
46	235	3765
47	239	3758
48	244	3741
49	248	3733
50	253	3726
51	258	3717
52	264	3732
53	269	3723
54	273	3706
55	277	3689
56	282	3678
57	286	3663
58	290	3650
59	295	3640
60	299	3629
61	304	3625
62	309	3618
63	313	3603
64	317	3591
65	322	3581
66	326	3567
67	330	3561
68	336	3564
69	341	3557
70	345	3545
71	350	3541
72	354	3531
73	358	3521
74	363	3515
75	368	3507
76	372	3495
77	376	3486
78	380	3474
79	385	3465
80	389	3456
81	394	3450
82	398	3441
83	402	3432
84	407	3426
85	411	3416
86	415	3407
87	420	3398
88	424	3392
89	429	3387
90	433	3380
91	438	3372
92	442	3363
93	446	3353
94	451	3349
95	455	3340
96	459	3332
97	464	3325
98	469	3325
99	473	3316
100	478	3310
101	482	3304
102	486	3295
103	491	3286
104	495	3276
105	499	3269
106	503	3263
107	508	3255
108	512	3249
109	516	3242
110	521	3234
111	525	3229
112	529	3220
113	534	3214
114	538	3207
115	542	3198
116	547	3194
117	551	3188
118	555	3181
119	560	3173
120	564	3166
121	568	3159
122	573	3154
123	577	3149
124	581	3141
125	586	3136
126	590	3130
127	594	3123
128	599	3118
129	603	3111
130	608	3107
131	612	3101
132	617	3094
133	621	3090
134	626	3085
135	630	3079
136	635	3074
137	639	3068
138	644	3064
